County Code,Site Num,Latitude,Longitude,AQS Parameter Desc,Date Local,AQI,AQI Description,AQI Color
3,3,41.492707,-112.018863,Ozone,2011-09-30,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-29,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-28,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-27,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-26,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-25,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-24,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-23,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-22,40.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-21,35.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-20,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-19,38.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-18,38.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-17,38.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-16,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-15,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-14,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-13,43.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-12,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-11,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-10,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-09,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-08,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-07,43.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-06,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-05,42.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-04,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-03,43.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-02,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-09-01,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-31,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-08-30,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-29,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-28,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-08-27,77.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-26,77.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-25,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-24,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-23,86.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-22,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-21,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-08-20,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-19,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-18,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-17,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-08-16,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-08-15,42.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-08-14,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-08-13,83.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-12,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-08-11,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-04,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-03,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-08-02,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-08-01,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-31,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-30,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-29,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-07-28,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-07-27,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-26,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-25,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-24,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-07-23,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-22,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-21,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-20,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-19,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-18,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-17,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-07-16,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-07-15,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-14,43.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-13,42.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-12,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-11,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-07-10,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-07-09,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-07-08,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-07,39.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-06,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-07-05,42.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-04,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-07-03,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-07-02,77.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-07-01,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-06-30,38.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-06-29,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-06-28,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-06-27,80.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-06-26,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-06-25,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-06-24,43.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-06-23,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-06-22,77.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2011-06-21,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-06-20,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-06-19,28.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-06-18,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-06-17,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2011-06-16,45.0,Good,Green
